time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.fix_quality,.Altitude,.HDOP,.UTM_easting,.UTM_northing,.UTC,.Zone,.Letter
2023/02/20/14:36:48.190254,211,70609,0,GPS1_Frame,42.338196,-71.08642633333334,4,38.5,0.699999988079071,328121.5075775271,4689435.061476156,19:36:49,19,T
2023/02/20/14:36:49.171279,212,70610,0,GPS1_Frame,42.33819616666667,-71.08642633333334,4,38.5,0.699999988079071,328121.50803162786,4689435.079983219,19:36:50,19,T
2023/02/20/14:36:50.184006,213,70611,0,GPS1_Frame,42.33819616666667,-71.08642633333334,4,38.5,0.699999988079071,328121.50803162786,4689435.079983219,19:36:51,19,T
2023/02/20/14:36:51.165958,214,70612,0,GPS1_Frame,42.338196,-71.0864265,4,38.5,0.8999999761581421,328121.49384705897,4689435.061813055,19:36:52,19,T
2023/02/20/14:36:52.179496,215,70613,0,GPS1_Frame,42.338196,-71.0864265,4,38.5,0.8999999761581421,328121.49384705897,4689435.061813055,19:36:53,19,T
2023/02/20/14:36:53.167883,216,70614,0,GPS1_Frame,42.338196,-71.08642633333334,4,38.5,0.8999999761581421,328121.5075775271,4689435.061476156,19:36:54,19,T
2023/02/20/14:36:54.169160,217,70615,0,GPS1_Frame,42.338196,-71.08642633333334,4,38.5,0.7200000286102295,328121.5075775271,4689435.061476156,19:36:55,19,T
2023/02/20/14:36:55.173710,218,70616,0,GPS1_Frame,42.338196,-71.08642633333334,4,38.5,0.7200000286102295,328121.5075775271,4689435.061476156,19:36:56,19,T
2023/02/20/14:36:56.179873,219,70617,0,GPS1_Frame,42.338196,-71.08642633333334,4,38.5,0.699999988079071,328121.5075775271,4689435.061476156,19:36:57,19,T
2023/02/20/14:36:57.173486,220,70618,0,GPS1_Frame,42.338196,-71.08642633333334,4,38.5,0.699999988079071,328121.5075775271,4689435.061476156,19:36:58,19,T
2023/02/20/14:36:58.193194,221,70619,0,GPS1_Frame,42.338196,-71.08642633333334,4,38.5,0.699999988079071,328121.5075775271,4689435.061476156,19:36:59,19,T
2023/02/20/14:36:59.175380,222,70620,0,GPS1_Frame,42.338196,-71.08642633333334,4,38.5,0.699999988079071,328121.5075775271,4689435.061476156,19:37:0,19,T
2023/02/20/14:37:00.180297,223,70621,0,GPS1_Frame,42.338196,-71.08642633333334,4,38.5,0.699999988079071,328121.5075775271,4689435.061476156,19:37:1,19,T
