time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.Altitude,.HDOP,.UTM_easting,.UTM_northing,.UTC,.Zone,.Letter
2023/02/06/07:38:39.492623,0,67899,0,GPS1_FRAME,42.339295,-71.08500166666667,9.4,0.9,328241.8679423491,4689554.218219527,185139.0,19,T
2023/02/06/07:38:40.492500,0,67900,0,GPS1_FRAME,42.33929833333333,-71.08500666666667,9.3,0.9,328241.46511153586,4689554.598460938,185140.0,19,T
2023/02/06/07:38:41.493119,0,67901,0,GPS1_FRAME,42.339301666666664,-71.08501166666667,9.3,0.9,328241.06228076667,4689554.978702375,185141.0,19,T
2023/02/06/07:38:42.491879,0,67902,0,GPS1_FRAME,42.339306666666666,-71.08501833333334,9.3,0.9,328240.52668582066,4689555.54738121,185142.0,19,T
2023/02/06/07:38:43.492287,0,67903,0,GPS1_FRAME,42.33931,-71.08502333333334,9.3,0.9,328240.123855158,4689555.927622706,185143.0,19,T
2023/02/06/07:38:44.493448,0,67904,0,GPS1_FRAME,42.33931333333334,-71.08503,9.3,0.9,328239.58372229926,4689556.311230971,185144.0,19,T
2023/02/06/07:38:45.493151,0,67905,0,GPS1_FRAME,42.33931833333333,-71.085035,9.3,0.9,328239.1854298064,4689556.876543168,185145.0,19,T
2023/02/06/07:38:46.492355,0,67906,0,GPS1_FRAME,42.33932166666666,-71.08504,9.3,0.9,328238.7825992942,4689557.256784745,185146.0,19,T
2023/02/06/07:38:47.492373,0,67907,0,GPS1_FRAME,42.339325,-71.08504666666667,9.4,0.9,328238.2424666113,4689557.640393119,185147.0,19,T
2023/02/06/07:38:48.492567,0,67908,0,GPS1_FRAME,42.33933,-71.08505166666667,9.5,0.9,328237.84417430626,4689558.205705401,185148.0,19,T
2023/02/06/07:38:49.493436,0,67909,0,GPS1_FRAME,42.339335,-71.08505833333334,9.5,0.9,328237.3085798747,4689558.7743845,185149.0,19,T
2023/02/06/07:38:50.492226,0,67910,0,GPS1_FRAME,42.33933833333333,-71.08506333333334,9.5,0.9,328236.90574957547,4689559.154626191,185150.0,19,T
2023/02/06/07:38:51.492146,0,67911,0,GPS1_FRAME,42.33934333333333,-71.08507,9.5,0.9,328236.37015529466,4689559.723305368,185151.0,19,T
2023/02/06/07:38:52.492673,0,67912,0,GPS1_FRAME,42.339346666666664,-71.085075,9.6,0.9,328235.9673251019,4689560.103547116,185152.0,19,T
2023/02/06/07:38:53.492777,0,67913,0,GPS1_FRAME,42.33935,-71.08508166666667,9.6,0.9,328235.42719279265,4689560.4871557215,185153.0,19,T
2023/02/06/07:38:54.492620,0,67914,0,GPS1_FRAME,42.339355,-71.08508666666667,9.7,0.9,328235.0289008855,4689561.052468176,185154.0,19,T
2023/02/06/07:38:55.493165,0,67915,0,GPS1_FRAME,42.33935833333334,-71.08509333333333,9.7,0.9,328234.48876870284,4689561.436076858,185155.0,19,T
2023/02/06/07:38:56.493119,0,67916,0,GPS1_FRAME,42.33936166666667,-71.08509833333333,9.7,0.9,328234.0859387097,4689561.8163187215,185156.0,19,T
2023/02/06/07:38:57.492235,0,67917,0,GPS1_FRAME,42.33936666666666,-71.085105,9.7,0.9,328233.550344868,4689562.384998127,185157.0,19,T
2023/02/06/07:38:58.492054,0,67918,0,GPS1_FRAME,42.33937,-71.08511,9.7,0.9,328233.14751498355,4689562.765240049,185158.0,19,T
2023/02/06/07:38:59.489405,0,67919,0,GPS1_FRAME,42.339373333333334,-71.085115,9.7,1.0,328232.7446851409,4689563.145481996,185159.0,19,T
2023/02/06/07:39:00.495126,0,67920,0,GPS1_FRAME,42.339378333333336,-71.08512166666667,9.7,0.9,328232.2090915124,4689563.714161511,185200.0,19,T
2023/02/06/07:39:01.493818,0,67921,0,GPS1_FRAME,42.33938166666667,-71.08512666666667,9.7,0.9,328231.8062617763,4689564.094403515,185201.0,19,T
2023/02/06/07:39:02.491938,0,67922,0,GPS1_FRAME,42.339385,-71.08513333333333,9.7,0.9,328231.2661300036,4689564.478012459,185202.0,19,T
2023/02/06/07:39:03.492397,0,67923,0,GPS1_FRAME,42.33939,-71.08514,9.7,0.9,328230.7305365991,4689565.046692096,185203.0,19,T
2023/02/06/07:39:04.492947,0,67924,0,GPS1_FRAME,42.339395,-71.08514666666666,9.7,0.9,328230.19494328066,4689565.615371778,185204.0,19,T
2023/02/06/07:39:05.492879,0,67925,0,GPS1_FRAME,42.339398333333335,-71.08515166666666,9.7,0.9,328229.7921137669,4689565.995613903,185205.0,19,T
2023/02/06/07:39:06.492268,0,67926,0,GPS1_FRAME,42.33940333333334,-71.08515833333334,9.7,0.9,328229.2565205991,4689566.564293662,185206.0,19,T
2023/02/06/07:39:07.492662,0,67927,0,GPS1_FRAME,42.33940666666667,-71.08516333333333,9.7,0.9,328228.85369119176,4689566.944535846,185207.0,19,T
2023/02/06/07:39:08.492867,0,67928,0,GPS1_FRAME,42.33941,-71.08517,9.8,0.9,328228.3135597979,4689567.328145029,185208.0,19,T
2023/02/06/07:39:09.494913,0,67929,0,GPS1_FRAME,42.33941333333333,-71.085175,10.0,0.9,328227.9107304858,4689567.708387271,185209.0,19,T
2023/02/06/07:39:10.495210,0,67930,0,GPS1_FRAME,42.33941333333333,-71.085175,9.9,0.9,328227.9107304858,4689567.708387271,185210.0,19,T
2023/02/06/07:39:11.493192,0,67931,0,GPS1_FRAME,42.33941333333333,-71.085175,9.9,0.9,328227.9107304858,4689567.708387271,185211.0,19,T
